#1-10木头
225|1|18204|1
225|1|18206|1
225|1|10000|1
225|2|10001|2
225|3|10002|3
225|4|10003|4
225|5|10004|5
225|6|10005|6
225|7|10006|7
225|8|10007|8
225|9|10008|9
225|10|10009|10
#1-10花草
225|1|12800|1
225|2|12801|2
225|3|12802|3
225|4|12803|4
225|5|12804|6
225|6|12805|7
225|7|12806|8
225|8|12807|9
225|9|12808|10
225|10|12809|10
#1-10狩猎
226|1|12006|1
226|1|12400|2
226|1|12404|1
226|1|18211|1
226|2|12401|2
226|2|12002|2
226|2|12004|2
226|3|12402|3
226|3|12409|3
226|4|12000|4
226|4|11201|4
226|4|12003|4
226|4|12407|4
226|5|11200|5
226|5|12408|5
226|5|11600|5
226|5|12005|5
226|5|12001|5
226|6|12410|6
226|7|12413|7
226|7|12406|7
226|7|12403|7
226|8|12412|8
226|8|11202|8
226|8|11226|8
226|9|12417|9
226|9|12416|9
226|10|12418|10
226|10|12419|10
#1-10矿石
227|1|9600|1
227|2|9601|2
227|3|9602|3
227|4|9603|4
227|5|9604|5
227|6|9605|6
227|7|9606|10
227|8|9607|14
227|9|9608|28
227|10|9609|60
