4100|5485405|
4101|5019973|
4102|5019973|
4103|5019973|
4104|6529728|
4105|5485405|
4106|4557631|
4107|5743468|
4112|5019973|
4113|5019973|
4114|5416523|
4115|4557631|
4116|1789761|
4124|5743468|
4125|5416523|
4126|5416523|
4127|4557631|
4128|1789761|
4134|1318974|
4136|5019973|
4137|4557631|
4138|5554287|
4142|5870256|
4143|5869474|
4144|1789761|
4145|1978702|
4148|5019973|
4149|5019973|
4150|4557631|
4151|4225647|
4152|1978702|
4153|5210528|
4160|3963447|
4161|6535290|
4162|3963447|
4163|3297647|
4172|6535290|
4173|5019973|
4174|5743468|
4175|5416523|
4176|5019973|
4183|5416523|
4184|5485405|
4185|5485405|
4186|5019973|
4187|5416523|
4188|5019973|
4193|5743468|
4194|2638174|
4195|5485405|
4196|3963447|
4197|5019973|
4198|5019973|
4199|4557631|
4200|5019973|
4204|1978702|
4205|5019973|
4206|5019973|
4207|4557631|
4208|5416523|
4209|4557631|
4210|4557631|
4211|5019973|
4212|2638174|
4213|4557631|
4215|5671553|
4216|4557631|
4217|5554287|
4218|3963447|
4219|5416523|
4220|5019973|
4221|5743468|
4222|5416523|
4223|5019973|
4224|4557631|
4225|5019973|
4226|5554287|
4228|5671553|
4229|5416523|
4230|5019973|
4231|5485405|
4232|4557631|
4233|4557631|
4234|5554287|
4235|6535290|
4236|5019973|
4237|4557631|
4238|5554287|
4239|5743468|
4240|5019973|
4241|5416523|
4242|5485405|
4243|5743468|
4108|1978702|
4109|5743468|
4110|5017182|
4111|1978702|
4117|3963447|
4118|4557631|
4119|5870256|
4120|3957119|
4121|3957119|
4122|1481421|
4123|1978702|
4129|1978702|
4130|5210528|
4131|3957119|
4132|3957119|
4133|3026478|
4135|3026478|
4139|4880780|
4140|3297647|
4141|2638174|
4146|5210528|
4147|4551055|
4154|3564632|
4155|3026478|
4156|3957119|
4157|3297647|
4158|1789761|
4159|5017182|
4164|1789761|
4165|3297647|
4166|1315860|
4167|21885|
4168|3026478|
4169|1789761|
4170|4225647|
4171|5416523|
4177|659501|
4178|659501|
4179|1789761|
4180|1789761|
4181|2638174|
4182|1789761|
4189|3564632|
4190|3026478|
4191|2245919|
4192|3564632|
4201|3564632|
4202|3297647|
4203|3297647|
4214|3564632|
4227|1978702|
3000|7319491|
3001|7319491|
3002|12504520|
3003|3957119|
3004|3957119|
3005|5342359|
3006|11917809|
3007|13758975|
3008|11917809|
3009|6331053|
3010|4880780|
