#2.5 影男女
100900|1200
100901|1200
#6.0 台服
104414|2400
104462|2400
104444|2400
#2.0 普通
100002|200
100027|200
100052|200
100077|200
100102|200
100127|200
100152|200
100252|200
100277|200
100302|200
100327|200
100352|200
100377|200
100402|200
#2.0 Boss
100527|1000
100552|1000
100577|1000
100602|1000
100627|1000
100652|1000
100677|1000
100702|1000
100727|1000
100752|1000
100802|1000
#3.0 普通
106002|300
106027|300
106052|300
106077|300
106102|300
106127|300
106152|300
106252|300
106277|300
106302|300
106327|300
106352|300
106377|300
106402|300
#3.0 Boss
106427|1200
106452|1200
106477|1200
106502|1200
106527|1200
106552|1200
106577|1200
106602|1200
106627|1200
106652|1200
106677|1200
106702|1200
106727|1200
106752|1200
